id,innings_id,player_id,metric_type,display_area,payload_sent,api_response,card_data,is_active,is_visible
14,5,60,shot_risk_efficiency,bottom_bar,"{""player_id"": 60, ""innings_id"": 5, ""runs"": 69, ""balls"": 42}","{""metric_score"": 0.719, ""label"": ""high-impact""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""69 off 42"", ""player_id"": 60}",True,True
15,5,58,shot_risk_efficiency,between_balls,"{""player_id"": 58, ""innings_id"": 5, ""runs"": 24, ""balls"": 8}","{""metric_score"": 0.611, ""label"": ""stable""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""24 off 8"", ""player_id"": 58}",True,True
16,6,6,pressure_performance,between_overs,"{""player_id"": 6, ""innings_id"": 6, ""runs"": 75, ""balls"": 51}","{""metric_score"": 0.753, ""label"": ""high-impact""}","{""title"": ""Pressure Performance"", ""headline"": ""75 off 51"", ""player_id"": 6}",True,True
17,6,1,shot_risk_efficiency,main_overlay,"{""player_id"": 1, ""innings_id"": 6, ""runs"": 40, ""balls"": 26}","{""metric_score"": 0.668, ""label"": ""high-impact""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""40 off 26"", ""player_id"": 1}",True,True
18,6,15,shot_risk_efficiency,between_overs,"{""player_id"": 15, ""innings_id"": 6, ""runs"": 24, ""balls"": 11}","{""metric_score"": 0.777, ""label"": ""stable""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""24 off 11"", ""player_id"": 15}",True,True
19,7,27,shot_risk_efficiency,bottom_bar,"{""player_id"": 27, ""innings_id"": 7, ""runs"": 54, ""balls"": 34}","{""metric_score"": 0.731, ""label"": ""high-impact""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""54 off 34"", ""player_id"": 27}",True,True
20,7,17,consistency_index,main_overlay,"{""player_id"": 17, ""innings_id"": 7, ""runs"": 31, ""balls"": 20}","{""metric_score"": 0.677, ""label"": ""stable""}","{""title"": ""Consistency Index"", ""headline"": ""31 off 20"", ""player_id"": 17}",True,True
21,7,30,pressure_performance,between_balls,"{""player_id"": 30, ""innings_id"": 7, ""runs"": 30, ""balls"": 18}","{""metric_score"": 0.656, ""label"": ""stable""}","{""title"": ""Pressure Performance"", ""headline"": ""30 off 18"", ""player_id"": 30}",True,True
22,8,42,pressure_performance,between_overs,"{""player_id"": 42, ""innings_id"": 8, ""runs"": 31, ""balls"": 25}","{""metric_score"": 0.732, ""label"": ""stable""}","{""title"": ""Pressure Performance"", ""headline"": ""31 off 25"", ""player_id"": 42}",True,True
23,8,38,consistency_index,main_overlay,"{""player_id"": 38, ""innings_id"": 8, ""runs"": 25, ""balls"": 18}","{""metric_score"": 0.527, ""label"": ""stable""}","{""title"": ""Consistency Index"", ""headline"": ""25 off 18"", ""player_id"": 38}",True,True
24,8,41,pressure_performance,main_overlay,"{""player_id"": 41, ""innings_id"": 8, ""runs"": 16, ""balls"": 14}","{""metric_score"": 0.685, ""label"": ""stable""}","{""title"": ""Pressure Performance"", ""headline"": ""16 off 14"", ""player_id"": 41}",True,True
25,9,55,shot_risk_efficiency,bottom_bar,"{""player_id"": 55, ""innings_id"": 9, ""runs"": 36, ""balls"": 23}","{""metric_score"": 0.547, ""label"": ""high-impact""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""36 off 23"", ""player_id"": 55}",True,True
26,9,56,consistency_index,between_balls,"{""player_id"": 56, ""innings_id"": 9, ""runs"": 24, ""balls"": 19}","{""metric_score"": 0.626, ""label"": ""stable""}","{""title"": ""Consistency Index"", ""headline"": ""24 off 19"", ""player_id"": 56}",True,True
27,9,59,batting_dashboard,between_overs,"{""player_id"": 59, ""innings_id"": 9, ""runs"": 24, ""balls"": 21}","{""metric_score"": 0.532, ""label"": ""stable""}","{""title"": ""Batting Dashboard"", ""headline"": ""24 off 21"", ""player_id"": 59}",True,True
28,10,26,shot_risk_efficiency,between_overs,"{""player_id"": 26, ""innings_id"": 10, ""runs"": 37, ""balls"": 45}","{""metric_score"": 0.819, ""label"": ""high-impact""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""37 off 45"", ""player_id"": 26}",True,True
29,10,27,consistency_index,bottom_bar,"{""player_id"": 27, ""innings_id"": 10, ""runs"": 34, ""balls"": 23}","{""metric_score"": 0.731, ""label"": ""stable""}","{""title"": ""Consistency Index"", ""headline"": ""34 off 23"", ""player_id"": 27}",True,True
30,10,21,shot_risk_efficiency,bottom_bar,"{""player_id"": 21, ""innings_id"": 10, ""runs"": 33, ""balls"": 16}","{""metric_score"": 0.63, ""label"": ""stable""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""33 off 16"", ""player_id"": 21}",True,True
31,11,46,consistency_index,between_balls,"{""player_id"": 46, ""innings_id"": 11, ""runs"": 70, ""balls"": 50}","{""metric_score"": 0.711, ""label"": ""high-impact""}","{""title"": ""Consistency Index"", ""headline"": ""70 off 50"", ""player_id"": 46}",True,True
32,11,60,pressure_performance,bottom_bar,"{""player_id"": 60, ""innings_id"": 11, ""runs"": 63, ""balls"": 48}","{""metric_score"": 0.719, ""label"": ""high-impact""}","{""title"": ""Pressure Performance"", ""headline"": ""63 off 48"", ""player_id"": 60}",True,True
33,11,58,consistency_index,between_overs,"{""player_id"": 58, ""innings_id"": 11, ""runs"": 15, ""balls"": 12}","{""metric_score"": 0.611, ""label"": ""stable""}","{""title"": ""Consistency Index"", ""headline"": ""15 off 12"", ""player_id"": 58}",True,True
34,12,31,pressure_performance,between_balls,"{""player_id"": 31, ""innings_id"": 12, ""runs"": 44, ""balls"": 22}","{""metric_score"": 0.828, ""label"": ""high-impact""}","{""title"": ""Pressure Performance"", ""headline"": ""44 off 22"", ""player_id"": 31}",True,True
35,12,41,shot_risk_efficiency,bottom_bar,"{""player_id"": 41, ""innings_id"": 12, ""runs"": 41, ""balls"": 41}","{""metric_score"": 0.685, ""label"": ""high-impact""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""41 off 41"", ""player_id"": 41}",True,True
36,12,38,shot_risk_efficiency,between_overs,"{""player_id"": 38, ""innings_id"": 12, ""runs"": 14, ""balls"": 8}","{""metric_score"": 0.527, ""label"": ""stable""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""14 off 8"", ""player_id"": 38}",True,True
37,13,21,pressure_performance,between_overs,"{""player_id"": 21, ""innings_id"": 13, ""runs"": 33, ""balls"": 41}","{""metric_score"": 0.63, ""label"": ""stable""}","{""title"": ""Pressure Performance"", ""headline"": ""33 off 41"", ""player_id"": 21}",True,True
38,13,30,pressure_performance,between_balls,"{""player_id"": 30, ""innings_id"": 13, ""runs"": 29, ""balls"": 9}","{""metric_score"": 0.656, ""label"": ""stable""}","{""title"": ""Pressure Performance"", ""headline"": ""29 off 9"", ""player_id"": 30}",True,True
39,13,17,consistency_index,between_overs,"{""player_id"": 17, ""innings_id"": 13, ""runs"": 17, ""balls"": 9}","{""metric_score"": 0.677, ""label"": ""stable""}","{""title"": ""Consistency Index"", ""headline"": ""17 off 9"", ""player_id"": 17}",True,True
40,14,6,batting_dashboard,bottom_bar,"{""player_id"": 6, ""innings_id"": 14, ""runs"": 86, ""balls"": 36}","{""metric_score"": 0.753, ""label"": ""high-impact""}","{""title"": ""Batting Dashboard"", ""headline"": ""86 off 36"", ""player_id"": 6}",True,True
41,14,15,shot_risk_efficiency,between_overs,"{""player_id"": 15, ""innings_id"": 14, ""runs"": 31, ""balls"": 16}","{""metric_score"": 0.777, ""label"": ""stable""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""31 off 16"", ""player_id"": 15}",True,True
42,14,13,shot_risk_efficiency,between_balls,"{""player_id"": 13, ""innings_id"": 14, ""runs"": 26, ""balls"": 19}","{""metric_score"": 0.679, ""label"": ""stable""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""26 off 19"", ""player_id"": 13}",True,True
43,15,1,batting_dashboard,bottom_bar,"{""player_id"": 1, ""innings_id"": 15, ""runs"": 58, ""balls"": 48}","{""metric_score"": 0.668, ""label"": ""high-impact""}","{""title"": ""Batting Dashboard"", ""headline"": ""58 off 48"", ""player_id"": 1}",True,True
44,15,15,batting_dashboard,main_overlay,"{""player_id"": 15, ""innings_id"": 15, ""runs"": 37, ""balls"": 24}","{""metric_score"": 0.777, ""label"": ""high-impact""}","{""title"": ""Batting Dashboard"", ""headline"": ""37 off 24"", ""player_id"": 15}",True,True
45,15,6,batting_dashboard,between_balls,"{""player_id"": 6, ""innings_id"": 15, ""runs"": 37, ""balls"": 27}","{""metric_score"": 0.753, ""label"": ""high-impact""}","{""title"": ""Batting Dashboard"", ""headline"": ""37 off 27"", ""player_id"": 6}",True,True
46,16,41,pressure_performance,main_overlay,"{""player_id"": 41, ""innings_id"": 16, ""runs"": 48, ""balls"": 48}","{""metric_score"": 0.685, ""label"": ""high-impact""}","{""title"": ""Pressure Performance"", ""headline"": ""48 off 48"", ""player_id"": 41}",True,True
47,16,31,shot_risk_efficiency,between_balls,"{""player_id"": 31, ""innings_id"": 16, ""runs"": 30, ""balls"": 14}","{""metric_score"": 0.828, ""label"": ""stable""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""30 off 14"", ""player_id"": 31}",True,True
48,16,32,shot_risk_efficiency,between_overs,"{""player_id"": 32, ""innings_id"": 16, ""runs"": 23, ""balls"": 14}","{""metric_score"": 0.734, ""label"": ""stable""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""23 off 14"", ""player_id"": 32}",True,True
49,17,56,pressure_performance,between_balls,"{""player_id"": 56, ""innings_id"": 17, ""runs"": 70, ""balls"": 33}","{""metric_score"": 0.626, ""label"": ""high-impact""}","{""title"": ""Pressure Performance"", ""headline"": ""70 off 33"", ""player_id"": 56}",True,True
50,17,60,pressure_performance,main_overlay,"{""player_id"": 60, ""innings_id"": 17, ""runs"": 63, ""balls"": 41}","{""metric_score"": 0.719, ""label"": ""high-impact""}","{""title"": ""Pressure Performance"", ""headline"": ""63 off 41"", ""player_id"": 60}",True,True
51,17,46,pressure_performance,between_balls,"{""player_id"": 46, ""innings_id"": 17, ""runs"": 33, ""balls"": 28}","{""metric_score"": 0.711, ""label"": ""stable""}","{""title"": ""Pressure Performance"", ""headline"": ""33 off 28"", ""player_id"": 46}",True,True
52,18,15,pressure_performance,between_balls,"{""player_id"": 15, ""innings_id"": 18, ""runs"": 77, ""balls"": 38}","{""metric_score"": 0.777, ""label"": ""high-impact""}","{""title"": ""Pressure Performance"", ""headline"": ""77 off 38"", ""player_id"": 15}",True,True
53,18,13,shot_risk_efficiency,main_overlay,"{""player_id"": 13, ""innings_id"": 18, ""runs"": 26, ""balls"": 30}","{""metric_score"": 0.679, ""label"": ""stable""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""26 off 30"", ""player_id"": 13}",True,True
54,18,7,consistency_index,bottom_bar,"{""player_id"": 7, ""innings_id"": 18, ""runs"": 23, ""balls"": 18}","{""metric_score"": 0.636, ""label"": ""stable""}","{""title"": ""Consistency Index"", ""headline"": ""23 off 18"", ""player_id"": 7}",True,True
55,19,36,pressure_performance,between_overs,"{""player_id"": 36, ""innings_id"": 19, ""runs"": 99, ""balls"": 62}","{""metric_score"": 0.716, ""label"": ""high-impact""}","{""title"": ""Pressure Performance"", ""headline"": ""99 off 62"", ""player_id"": 36}",True,True
56,19,31,consistency_index,between_overs,"{""player_id"": 31, ""innings_id"": 19, ""runs"": 59, ""balls"": 45}","{""metric_score"": 0.828, ""label"": ""high-impact""}","{""title"": ""Consistency Index"", ""headline"": ""59 off 45"", ""player_id"": 31}",True,True
57,19,32,consistency_index,bottom_bar,"{""player_id"": 32, ""innings_id"": 19, ""runs"": 12, ""balls"": 7}","{""metric_score"": 0.734, ""label"": ""stable""}","{""title"": ""Consistency Index"", ""headline"": ""12 off 7"", ""player_id"": 32}",True,True
58,20,27,batting_dashboard,main_overlay,"{""player_id"": 27, ""innings_id"": 20, ""runs"": 27, ""balls"": 22}","{""metric_score"": 0.731, ""label"": ""stable""}","{""title"": ""Batting Dashboard"", ""headline"": ""27 off 22"", ""player_id"": 27}",True,True
59,20,17,pressure_performance,between_overs,"{""player_id"": 17, ""innings_id"": 20, ""runs"": 25, ""balls"": 11}","{""metric_score"": 0.677, ""label"": ""stable""}","{""title"": ""Pressure Performance"", ""headline"": ""25 off 11"", ""player_id"": 17}",True,True
60,20,30,shot_risk_efficiency,main_overlay,"{""player_id"": 30, ""innings_id"": 20, ""runs"": 13, ""balls"": 12}","{""metric_score"": 0.656, ""label"": ""stable""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""13 off 12"", ""player_id"": 30}",True,True
61,21,30,pressure_performance,bottom_bar,"{""player_id"": 30, ""innings_id"": 21, ""runs"": 89, ""balls"": 55}","{""metric_score"": 0.656, ""label"": ""high-impact""}","{""title"": ""Pressure Performance"", ""headline"": ""89 off 55"", ""player_id"": 30}",True,True
62,21,27,shot_risk_efficiency,main_overlay,"{""player_id"": 27, ""innings_id"": 21, ""runs"": 41, ""balls"": 35}","{""metric_score"": 0.731, ""label"": ""high-impact""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""41 off 35"", ""player_id"": 27}",True,True
63,21,29,consistency_index,main_overlay,"{""player_id"": 29, ""innings_id"": 21, ""runs"": 22, ""balls"": 10}","{""metric_score"": 0.536, ""label"": ""stable""}","{""title"": ""Consistency Index"", ""headline"": ""22 off 10"", ""player_id"": 29}",True,True
64,22,46,pressure_performance,between_overs,"{""player_id"": 46, ""innings_id"": 22, ""runs"": 27, ""balls"": 18}","{""metric_score"": 0.711, ""label"": ""stable""}","{""title"": ""Pressure Performance"", ""headline"": ""27 off 18"", ""player_id"": 46}",True,True
65,22,57,shot_risk_efficiency,between_overs,"{""player_id"": 57, ""innings_id"": 22, ""runs"": 15, ""balls"": 13}","{""metric_score"": 0.831, ""label"": ""stable""}","{""title"": ""Shot Risk Efficiency"", ""headline"": ""15 off 13"", ""player_id"": 57}",True,True
66,22,53,consistency_index,main_overlay,"{""player_id"": 53, ""innings_id"": 22, ""runs"": 15, ""balls"": 9}","{""metric_score"": 0.662, ""label"": ""stable""}","{""title"": ""Consistency Index"", ""headline"": ""15 off 9"", ""player_id"": 53}",True,True
67,23,41,pressure_performance,between_balls,"{""player_id"": 41, ""innings_id"": 23, ""runs"": 66, ""balls"": 52}","{""metric_score"": 0.685, ""label"": ""high-impact""}","{""title"": ""Pressure Performance"", ""headline"": ""66 off 52"", ""player_id"": 41}",True,True
68,23,32,consistency_index,bottom_bar,"{""player_id"": 32, ""innings_id"": 23, ""runs"": 48, ""balls"": 34}","{""metric_score"": 0.734, ""label"": ""high-impact""}","{""title"": ""Consistency Index"", ""headline"": ""48 off 34"", ""player_id"": 32}",True,True
69,23,44,batting_dashboard,between_overs,"{""player_id"": 44, ""innings_id"": 23, ""runs"": 33, ""balls"": 15}","{""metric_score"": 0.449, ""label"": ""stable""}","{""title"": ""Batting Dashboard"", ""headline"": ""33 off 15"", ""player_id"": 44}",True,True
70,24,46,batting_dashboard,between_balls,"{""player_id"": 46, ""innings_id"": 24, ""runs"": 66, ""balls"": 42}","{""metric_score"": 0.711, ""label"": ""high-impact""}","{""title"": ""Batting Dashboard"", ""headline"": ""66 off 42"", ""player_id"": 46}",True,True
71,24,47,consistency_index,main_overlay,"{""player_id"": 47, ""innings_id"": 24, ""runs"": 31, ""balls"": 16}","{""metric_score"": 0.598, ""label"": ""stable""}","{""title"": ""Consistency Index"", ""headline"": ""31 off 16"", ""player_id"": 47}",True,True
72,24,56,pressure_performance,bottom_bar,"{""player_id"": 56, ""innings_id"": 24, ""runs"": 29, ""balls"": 22}","{""metric_score"": 0.626, ""label"": ""stable""}","{""title"": ""Pressure Performance"", ""headline"": ""29 off 22"", ""player_id"": 56}",True,True
