match_id,innings_id,player_id,team_id,runs,balls,fours,sixes,strike_rate,is_out,dismissal_type,dismissed_by_bowler_id,fielder_name
7,13,26,2,2,3,0,0,66.67,1,bowled,14,
7,13,27,2,4,6,0,0,66.67,1,caught,8,Manan Gaur
7,13,29,2,16,21,0,0,76.19,1,bowled,7,
7,13,30,2,29,9,2,2,322.22,1,caught,9,Aarav Sharma
7,14,1,1,11,16,1,0,68.75,1,bowled,29,
7,14,6,1,86,36,7,5,238.89,0,not_out,,
7,14,13,1,26,19,2,1,136.84,0,not_out,,
7,14,15,1,31,16,4,1,193.75,1,caught,29,Advik Agarwal
8,15,1,1,58,48,8,0,120.83,1,hit_wicket,38,
8,15,2,1,13,9,1,1,144.44,0,not_out,,
8,15,6,1,37,27,3,1,137.04,1,caught,37,Ayaan Qureshi
8,15,12,1,1,2,0,0,50.0,0,not_out,,
8,15,13,1,23,10,1,2,230.0,1,caught,39,Parth Dubey
8,15,15,1,37,24,5,1,154.17,1,caught,38,Dhruv Patel
8,16,31,3,30,14,4,1,214.29,1,caught,8,Samar Chawla
8,16,32,3,23,14,2,0,164.29,1,bowled,7,
8,16,33,3,14,8,0,1,175.0,1,stumped,8,Devansh Kulkarni
8,16,36,3,16,18,1,0,88.89,1,caught,7,Krish Vyas
8,16,41,3,48,48,1,2,100.0,0,not_out,,
8,16,42,3,12,14,1,0,85.71,1,caught,14,Manan Gaur
8,16,44,3,1,4,0,0,25.0,0,not_out,,
9,17,46,4,33,28,3,1,117.86,1,bowled,12,
9,17,56,4,70,33,5,5,212.12,0,not_out,,
9,17,57,4,9,4,0,1,225.0,0,not_out,,
9,17,58,4,9,14,0,0,64.29,1,bowled,12,
9,17,60,4,63,41,10,1,153.66,1,hit_wicket,12,
9,18,1,1,1,3,0,0,33.33,1,caught,59,Aarush Khandelwal
9,18,2,1,9,11,1,0,81.82,1,caught,54,Pratyush Dubey
9,18,6,1,6,3,0,0,200.0,1,caught,59,Nakul Bedi
9,18,7,1,23,18,2,0,127.78,1,lbw,52,
9,18,9,1,9,6,1,0,150.0,1,caught,52,Hriday Vohra
9,18,12,1,11,8,0,1,137.5,1,bowled,59,
9,18,13,1,26,30,2,0,86.67,1,caught,52,Arnav Suri
9,18,14,1,11,3,1,1,366.67,0,not_out,,
9,18,15,1,77,38,7,4,202.63,1,caught,59,Yuvraj Panwar
10,19,31,3,59,45,7,1,131.11,1,caught,25,Pranav Joshi
10,19,32,3,12,7,2,0,171.43,1,bowled,24,
10,19,33,3,2,2,0,0,100.0,0,not_out,,
10,19,36,3,99,62,9,3,159.68,1,lbw,22,
10,19,41,3,1,2,0,0,50.0,1,bowled,22,
10,19,42,3,1,2,0,0,50.0,0,not_out,,
10,20,17,2,25,11,2,2,227.27,1,caught,39,Parth Dubey
10,20,19,2,8,14,0,0,57.14,1,stumped,38,Dhruv Patel
10,20,21,2,3,10,0,0,30.0,1,bowled,38,
10,20,22,2,3,4,0,0,75.0,1,caught,40,Dhruv Patel
10,20,23,2,1,2,0,0,50.0,1,caught,37,Ayaan Qureshi
10,20,24,2,1,2,0,0,50.0,1,caught,37,Viraj Thakur
10,20,26,2,9,14,0,0,64.29,1,caught,40,Parth Dubey
10,20,27,2,27,22,1,1,122.73,1,bowled,38,
10,20,29,2,3,4,0,0,75.0,1,bowled,37,
10,20,30,2,13,12,1,0,108.33,1,caught,37,Parth Dubey
11,21,17,2,4,3,1,0,133.33,1,caught,59,Arnav Suri
11,21,19,2,0,2,0,0,0.0,1,caught,59,Arnav Suri
11,21,21,2,1,6,0,0,16.67,1,hit_wicket,54,
11,21,22,2,11,4,1,1,275.0,1,caught,52,Shaan Oberoi
11,21,24,2,8,2,2,0,400.0,0,not_out,,
11,21,26,2,1,3,0,0,33.33,1,caught,55,Anay Gupta
11,21,27,2,41,35,4,0,117.14,1,hit_wicket,57,
11,21,29,2,22,10,3,0,220.0,1,caught,57,Madhav Iyer
11,21,30,2,89,55,12,3,161.82,0,not_out,,
11,22,46,4,27,18,2,1,150.0,1,hit_wicket,29,
11,22,47,4,14,18,2,0,77.78,1,caught,24,Naman Bhargava
11,22,52,4,6,7,0,0,85.71,0,not_out,,
11,22,53,4,15,9,0,1,166.67,1,caught,25,Vedant Soni
11,22,54,4,7,5,0,0,140.0,1,caught,22,Ritvik Sen
11,22,55,4,0,1,0,0,0.0,1,caught,25,Abeer Khan
11,22,56,4,4,1,1,0,400.0,1,caught,22,Lakshya Goyal
11,22,57,4,15,13,1,1,115.38,1,bowled,25,
11,22,58,4,8,9,1,0,88.89,1,lbw,29,
11,22,59,4,1,1,0,0,100.0,1,stumped,25,Kiaan Bansal
11,22,60,4,6,7,1,0,85.71,1,bowled,22,
12,23,31,3,0,1,0,0,0.0,1,stumped,55,Yuvraj Panwar
12,23,32,3,48,34,2,2,141.18,1,run_out,,Madhav Iyer
12,23,33,3,3,10,0,0,30.0,1,caught,54,Mihir Chhabra
12,23,36,3,2,1,0,0,200.0,1,caught,55,Yuvraj Panwar
12,23,38,3,2,2,0,0,100.0,1,caught,52,Arnav Suri
12,23,41,3,66,52,5,1,126.92,1,caught,52,Mihir Chhabra
12,23,42,3,12,5,1,1,240.0,1,lbw,59,
12,23,44,3,33,15,4,2,220.0,0,not_out,,
12,24,46,4,66,42,7,2,157.14,1,bowled,40,
12,24,47,4,31,16,3,2,193.75,0,not_out,,
12,24,56,4,29,22,3,1,131.82,1,caught,42,Vihaan Trivedi
12,24,57,4,22,12,2,2,183.33,0,not_out,,
12,24,58,4,10,12,0,0,83.33,1,stumped,37,Harit Sharma
12,24,60,4,18,16,2,0,112.5,1,lbw,42,
