match_id,innings_id,player_id,team_id,balls,overs,runs_conceded,wickets,dots,extras_conceded,economy
6,12,57,4,24,4.0,26,3,9,0,6.5
6,12,59,4,24,4.0,31,3,8,1,7.75
7,13,7,1,18,3.0,26,1,7,2,8.67
7,13,8,1,18,3.0,27,3,7,0,9.0
7,13,9,1,21,3.3,28,2,10,1,8.0
7,13,10,1,12,2.0,18,1,8,6,9.0
7,13,12,1,24,4.0,32,1,9,4,8.0
7,13,14,1,24,4.0,20,2,10,0,5.0
7,14,22,2,18,3.0,37,0,4,1,12.33
7,14,23,2,18,3.0,22,0,6,0,7.33
7,14,24,2,18,3.0,51,0,3,0,17.0
7,14,25,2,15,2.3,35,0,3,1,14.0
7,14,29,2,18,3.0,11,2,7,0,3.67
8,15,37,3,24,4.0,44,1,8,1,11.0
8,15,38,3,24,4.0,20,2,9,0,5.0
8,15,39,3,24,4.0,41,1,4,0,10.25
8,15,40,3,18,3.0,26,0,7,1,8.67
8,15,42,3,12,2.0,23,0,2,0,11.5
8,15,44,3,18,3.0,17,0,8,0,5.67
8,16,7,1,18,3.0,23,2,3,2,7.67
8,16,8,1,18,3.0,17,2,9,1,5.67
8,16,9,1,24,4.0,38,0,6,0,9.5
8,16,10,1,12,2.0,12,0,4,0,6.0
8,16,12,1,24,4.0,28,0,8,0,7.0
8,16,14,1,24,4.0,29,1,7,0,7.25
9,17,7,1,18,3.0,23,0,9,0,7.67
9,17,8,1,18,3.0,21,0,10,1,7.0
9,17,9,1,24,4.0,47,0,9,0,11.75
9,17,10,1,12,2.0,23,0,3,0,11.5
9,17,12,1,24,4.0,42,3,6,0,10.5
9,17,14,1,24,4.0,30,0,7,1,7.5
9,18,52,4,18,3.0,25,3,7,0,8.33
9,18,53,4,18,3.0,24,0,4,0,8.0
9,18,54,4,18,3.0,21,1,7,1,7.0
9,18,55,4,18,3.0,29,0,6,0,9.67
9,18,57,4,24,4.0,40,0,4,1,10.0
9,18,59,4,24,4.0,36,4,9,0,9.0
10,19,22,2,24,4.0,28,2,9,0,7.0
10,19,23,2,24,4.0,47,0,6,0,11.75
10,19,24,2,24,4.0,42,1,7,1,10.5
10,19,25,2,24,4.0,32,1,5,0,8.0
10,19,29,2,24,4.0,27,0,9,1,6.75
10,20,37,3,17,2.5,26,4,6,1,9.18
10,20,38,3,18,3.0,20,3,7,0,6.67
10,20,39,3,12,2.0,13,1,7,1,6.5
10,20,40,3,18,3.0,12,2,9,0,4.0
10,20,42,3,12,2.0,9,0,6,0,4.5
10,20,44,3,18,3.0,16,0,8,1,5.33
11,21,52,4,18,3.0,27,1,7,1,9.0
11,21,53,4,18,3.0,34,0,3,0,11.33
11,21,54,4,18,3.0,20,1,9,1,6.67
11,21,55,4,18,3.0,20,1,6,0,6.67
11,21,57,4,24,4.0,45,2,7,2,11.25
11,21,59,4,24,4.0,35,2,11,0,8.75
11,22,22,2,18,3.0,23,3,4,1,7.67
11,22,23,2,18,3.0,24,0,6,1,8.0
11,22,24,2,18,3.0,25,1,8,0,8.33
11,22,25,2,17,2.5,17,4,7,1,6.0
11,22,29,2,18,3.0,18,2,10,1,6.0
12,23,52,4,18,3.0,36,2,4,1,12.0
12,23,53,4,18,3.0,34,0,5,3,11.33
12,23,54,4,18,3.0,21,1,5,0,7.0
12,23,55,4,18,3.0,12,2,8,0,4.0
12,23,57,4,24,4.0,28,0,12,3,7.0
12,23,59,4,24,4.0,43,1,8,1,10.75
12,24,37,3,24,4.0,48,1,7,0,12.0
12,24,38,3,24,4.0,31,0,9,1,7.75
12,24,39,3,24,4.0,36,0,10,0,9.0
12,24,40,3,18,3.0,22,1,7,0,7.33
12,24,42,3,12,2.0,20,2,4,0,10.0
12,24,44,3,18,3.0,20,0,6,0,6.67
