ball_event_id,innings_id,over_number,ball_number,striker_id,bowler_id,runs_off_bat,extras,is_legal_delivery,phase,current_run_rate,required_run_rate,pressure_index,expected_runs,expected_wicket_probability,shot_risk_score,batter_control_score,target_is_wicket,target_total_runs
73,1,11,3,15,22,2,0,True,middle,11.22,,0.193,1.606,0.026,0.637,0.583,0,2
74,1,11,4,15,22,1,0,True,middle,11.14,,0.196,1.605,0.026,0.638,0.658,0,1
75,1,11,5,1,22,0,0,True,middle,10.99,,0.198,1.512,0.029,0.561,0.645,0,0
76,1,11,6,1,22,4,0,True,middle,11.17,,0.201,1.511,0.029,0.712,0.529,0,4
77,1,12,1,15,24,0,0,True,middle,11.01,,0.204,1.602,0.026,0.642,0.579,1,0
78,1,12,2,6,24,3,0,True,middle,11.11,,0.233,1.654,0.034,0.769,0.516,0,3
79,1,12,3,1,24,1,0,True,middle,11.04,,0.236,1.496,0.03,0.578,0.638,0,1
80,1,12,4,6,24,1,0,True,middle,10.97,,0.239,1.652,0.034,0.772,0.52,0,1
81,1,12,5,1,24,1,0,True,middle,10.91,,0.241,1.494,0.031,0.58,0.631,0,1
82,1,12,6,6,24,0,0,True,middle,10.77,,0.244,1.65,0.034,0.774,0.655,0,0
83,1,13,1,1,23,0,0,True,middle,10.63,,0.247,1.511,0.029,0.583,0.665,0,0
84,1,13,2,1,23,1,0,True,middle,10.57,,0.25,1.509,0.029,0.584,0.614,0,1
85,1,13,3,6,23,1,0,True,middle,10.52,,0.253,1.665,0.033,0.778,0.577,0,1
86,1,13,4,1,23,0,0,True,middle,10.39,,0.256,1.507,0.03,0.587,0.59,0,0
87,1,13,5,1,23,4,0,True,middle,10.55,,0.258,1.506,0.03,0.738,0.619,0,4
88,1,13,6,1,23,0,0,True,middle,10.43,,0.261,1.505,0.03,0.589,0.567,0,0
89,1,14,1,6,25,3,0,True,middle,10.52,,0.264,1.67,0.033,0.783,0.588,0,3
90,1,14,2,1,25,0,0,True,middle,10.4,,0.267,1.512,0.029,0.592,0.558,0,0
91,1,14,3,1,25,0,2,True,middle,10.41,,0.27,1.51,0.029,0.593,0.625,0,2
92,1,14,4,1,25,0,1,False,middle,10.48,,0.273,1.509,0.006,0.594,0.657,0,1
93,1,14,4,1,25,2,0,True,middle,10.5,,0.273,1.509,0.029,0.594,0.592,0,2
94,1,14,5,1,25,0,0,True,middle,10.38,,0.275,1.508,0.029,0.595,0.549,0,0
95,1,14,6,1,25,1,0,True,middle,10.33,,0.278,1.507,0.03,0.597,0.677,0,1
96,1,15,1,1,29,4,0,True,death,10.48,,0.281,1.401,0.058,0.748,0.588,0,4
97,1,15,2,1,29,1,0,True,death,10.43,,0.284,1.4,0.058,0.599,0.489,0,1
98,1,15,3,6,29,0,0,True,death,10.32,,0.287,1.556,0.062,0.793,0.612,0,0
99,1,15,4,6,29,0,0,True,death,10.21,,0.29,1.554,0.062,0.795,0.595,0,0
100,1,15,5,6,29,6,0,True,death,10.48,,0.292,1.553,0.062,0.946,0.543,0,6
101,1,15,6,6,29,1,0,True,death,10.44,,0.295,1.552,0.062,0.797,0.585,0,1
102,1,16,1,6,23,2,0,True,death,10.45,,0.298,1.646,0.053,0.798,0.633,0,2
103,1,16,2,6,23,6,0,True,death,10.71,,0.301,1.645,0.053,0.95,0.651,0,6
104,1,16,3,6,23,0,0,True,death,10.61,,0.304,1.644,0.053,0.801,0.646,0,0
105,1,16,4,6,23,4,0,True,death,10.74,,0.307,1.642,0.053,0.952,0.526,0,4
106,1,16,5,6,23,1,0,True,death,10.69,,0.309,1.642,0.054,0.803,0.583,0,1
107,1,16,6,1,23,1,0,True,death,10.65,,0.312,1.483,0.05,0.612,0.575,0,1
108,1,17,1,1,22,0,0,True,death,10.54,,0.315,1.463,0.052,0.613,0.622,0,0
109,1,17,2,1,22,4,0,True,death,10.67,,0.318,1.462,0.052,0.765,0.629,0,4
110,1,17,3,1,22,4,0,True,death,10.8,,0.321,1.46,0.052,0.766,0.639,0,4
111,1,17,4,1,22,0,0,True,death,10.7,,0.324,1.459,0.052,0.617,0.635,0,0
112,1,17,5,1,22,1,0,True,death,10.65,,0.326,1.458,0.053,0.618,0.644,0,1
113,1,17,6,6,22,6,0,True,death,10.89,,0.329,1.614,0.056,0.962,0.614,0,6
114,1,18,1,1,25,0,0,True,death,10.79,,0.332,1.484,0.05,0.621,0.615,0,0
115,1,18,2,1,25,0,0,True,death,10.69,,0.335,1.483,0.05,0.622,0.558,1,0
116,1,18,3,13,25,0,0,True,death,10.59,,0.364,1.431,0.055,0.657,0.591,0,0
117,1,18,4,13,25,2,0,True,death,10.61,,0.367,1.43,0.055,0.658,0.508,0,2
118,1,18,5,13,25,0,0,True,death,10.51,,0.369,1.429,0.055,0.659,0.534,0,0
119,1,18,6,13,25,0,0,True,death,10.42,,0.372,1.428,0.055,0.66,0.567,0,0
120,1,19,1,6,24,1,0,True,death,10.38,,0.375,1.595,0.058,0.833,0.568,1,1
121,1,19,2,13,24,0,0,True,death,10.29,,0.404,1.386,0.059,0.675,0.506,0,0
122,1,19,3,13,24,1,0,True,death,10.26,,0.407,1.384,0.059,0.676,0.534,0,1
123,1,19,4,2,24,1,0,True,death,10.22,,0.41,1.269,0.064,0.642,0.542,0,1
124,1,19,5,13,24,3,0,True,death,10.29,,0.412,1.382,0.06,0.678,0.506,0,3
125,1,19,6,2,24,2,0,True,death,10.3,,0.415,1.267,0.064,0.644,0.465,0,2
126,2,0,1,27,7,0,1,False,powerplay,6.0,10.3,0.296,1.359,0.006,0.669,0.502,0,1
127,2,0,1,27,7,4,0,True,powerplay,30.0,10.18,0.294,1.359,0.049,0.818,0.52,0,4
128,2,0,2,27,7,1,0,True,powerplay,18.0,10.22,0.294,1.359,0.049,0.668,0.444,0,1
129,2,0,3,30,7,0,1,False,powerplay,21.0,10.17,0.298,1.426,0.006,0.748,0.455,0,1
130,2,0,3,30,7,1,0,True,powerplay,16.0,10.21,0.296,1.427,0.056,0.747,0.476,0,1
131,2,0,4,27,7,0,0,True,powerplay,12.0,10.29,0.3,1.357,0.049,0.671,0.426,0,0
132,2,0,5,27,7,2,0,True,powerplay,12.0,10.28,0.305,1.355,0.05,0.673,0.521,0,2
133,2,0,6,27,7,1,0,True,powerplay,11.0,10.32,0.308,1.354,0.05,0.674,0.543,0,1
134,2,1,1,27,9,0,0,True,powerplay,9.43,10.41,0.312,1.39,0.046,0.676,0.569,0,0
135,2,1,2,27,9,1,0,True,powerplay,9.0,10.45,0.317,1.388,0.047,0.678,0.447,0,1
136,2,1,3,30,9,1,0,True,powerplay,8.67,10.49,0.321,1.455,0.054,0.759,0.591,0,1
137,2,1,4,27,9,1,0,True,powerplay,8.4,10.53,0.325,1.384,0.047,0.682,0.47,0,1
138,2,1,5,30,9,0,0,True,powerplay,7.64,10.62,0.329,1.452,0.054,0.762,0.515,0,0
139,2,1,6,30,9,4,0,True,powerplay,9.0,10.5,0.335,1.449,0.055,0.915,0.518,0,4
140,2,2,1,27,14,0,2,True,powerplay,9.23,10.49,0.334,1.381,0.047,0.686,0.591,0,2
141,2,2,2,27,14,1,0,True,powerplay,9.0,10.53,0.337,1.379,0.047,0.687,0.557,0,1
142,2,2,3,30,14,6,0,True,powerplay,10.8,10.29,0.341,1.447,0.055,0.918,0.488,0,6
143,2,2,4,30,14,4,0,True,powerplay,11.62,10.15,0.336,1.449,0.055,0.915,0.443,0,4
144,2,2,5,30,14,2,0,True,powerplay,11.65,10.14,0.335,1.449,0.055,0.765,0.448,0,2
145,2,2,6,30,14,4,0,True,powerplay,12.33,10.0,0.338,1.448,0.055,0.916,0.575,0,4
146,2,3,1,27,8,1,0,True,powerplay,12.0,10.04,0.337,1.437,0.042,0.687,0.516,0,1
147,2,3,2,30,8,6,0,True,powerplay,13.2,9.78,0.341,1.504,0.049,0.918,0.619,0,6
148,2,3,3,30,8,0,0,True,powerplay,12.57,9.88,0.336,1.506,0.049,0.765,0.576,0,0
149,2,3,4,30,8,1,0,True,powerplay,12.27,9.92,0.342,1.503,0.049,0.768,0.6,0,1
150,2,3,5,27,8,1,0,True,powerplay,12.0,9.96,0.346,1.433,0.042,0.691,0.48,0,1
151,2,3,6,30,8,0,1,False,powerplay,12.26,9.9,0.35,1.5,0.006,0.772,0.598,1,1
152,2,3,6,26,8,4,0,True,powerplay,12.75,9.75,0.374,1.284,0.037,0.711,0.589,0,4
153,2,4,1,27,10,0,1,False,powerplay,13.0,9.69,0.373,1.431,0.006,0.704,0.605,0,1
154,2,4,1,27,10,2,0,True,powerplay,12.96,9.66,0.371,1.432,0.043,0.703,0.52,0,2
155,2,4,2,27,10,1,0,True,powerplay,12.69,9.7,0.373,1.431,0.043,0.704,0.562,0,1
156,2,4,3,26,10,1,0,True,powerplay,12.44,9.74,0.377,1.293,0.036,0.563,0.602,0,1
157,2,4,4,27,10,2,0,True,powerplay,12.43,9.72,0.381,1.428,0.043,0.707,0.48,0,2
158,2,4,5,27,10,4,0,True,powerplay,12.83,9.56,0.383,1.427,0.043,0.858,0.61,0,4
159,2,4,6,27,10,4,0,True,powerplay,13.2,9.4,0.381,1.428,0.043,0.857,0.544,0,4
160,2,5,1,26,12,2,0,True,powerplay,13.16,9.37,0.38,1.52,0.014,0.564,0.59,0,2
161,2,5,2,26,12,1,0,True,powerplay,12.94,9.41,0.382,1.519,0.014,0.565,0.585,0,1
162,2,5,3,27,12,0,0,True,powerplay,12.55,9.52,0.386,1.654,0.022,0.709,0.572,0,0
163,2,5,4,27,12,1,0,True,powerplay,12.35,9.56,0.391,1.652,0.022,0.712,0.707,0,1
164,2,5,5,26,12,4,0,True,powerplay,12.69,9.39,0.395,1.514,0.015,0.721,0.668,0,4
165,2,5,6,26,12,1,0,True,powerplay,12.5,9.43,0.393,1.514,0.015,0.57,0.622,0,1
166,2,6,1,26,7,1,0,True,middle,12.32,9.47,0.397,1.179,0.047,0.572,0.525,0,1
167,2,6,2,27,7,0,0,True,middle,12.0,9.59,0.401,1.314,0.054,0.716,0.49,1,0
168,2,6,3,17,7,1,0,True,middle,11.85,9.63,0.434,1.34,0.064,0.802,0.415,0,1
169,2,6,4,26,7,0,1,False,middle,12.0,9.56,0.438,1.162,0.006,0.59,0.451,0,1
170,2,6,4,26,7,1,0,True,middle,11.85,9.6,0.436,1.163,0.048,0.589,0.45,0,1
171,2,6,5,17,7,2,0,True,middle,11.85,9.57,0.44,1.337,0.064,0.805,0.445,0,2
172,2,6,6,17,7,0,0,True,middle,11.57,9.69,0.442,1.336,0.065,0.806,0.542,0,0
173,2,7,1,26,9,0,0,True,middle,11.3,9.82,0.448,1.196,0.045,0.594,0.528,0,0
174,2,7,2,26,9,0,0,True,middle,11.05,9.95,0.454,1.194,0.046,0.597,0.439,0,0
175,2,7,3,26,9,1,0,True,middle,10.93,10.0,0.461,1.191,0.046,0.6,0.461,0,1
176,2,7,4,17,9,1,0,True,middle,10.83,10.05,0.465,1.365,0.062,0.816,0.554,0,1
177,2,7,5,26,9,1,0,True,middle,10.72,10.11,0.469,1.187,0.046,0.604,0.516,0,1
178,2,7,6,17,9,1,0,True,middle,10.62,10.17,0.474,1.361,0.062,0.82,0.574,0,1
179,2,8,1,17,14,0,0,True,middle,10.41,10.31,0.479,1.359,0.063,0.823,0.541,0,0
180,2,8,2,17,14,0,1,False,middle,10.53,10.23,0.485,1.356,0.009,0.825,0.437,0,1
181,2,8,2,17,14,0,0,True,middle,10.32,10.37,0.483,1.357,0.063,0.824,0.459,0,0
182,2,8,3,17,14,0,0,True,middle,10.12,10.52,0.49,1.354,0.063,0.828,0.513,0,0
183,2,8,4,17,14,2,0,True,middle,10.15,10.5,0.497,1.351,0.063,0.831,0.553,0,2
184,2,8,5,17,14,1,0,True,middle,10.08,10.57,0.499,1.35,0.064,0.832,0.421,0,1
185,2,8,6,26,14,0,0,True,middle,9.89,10.73,0.504,1.173,0.048,0.62,0.478,0,0
186,2,9,1,17,8,1,0,True,middle,9.82,10.8,0.512,1.402,0.059,0.838,0.475,0,1
187,2,9,2,26,8,1,0,True,middle,9.75,10.88,0.516,1.225,0.043,0.625,0.583,1,1
188,2,9,3,17,8,2,0,True,middle,9.79,10.86,0.548,1.387,0.06,0.854,0.477,0,2
189,2,9,4,17,8,1,0,True,middle,9.72,10.94,0.55,1.386,0.06,0.855,0.57,0,1
190,2,9,5,19,8,0,0,True,middle,9.56,11.11,0.555,1.222,0.049,0.671,0.584,0,0
191,2,9,6,19,8,1,0,True,middle,9.5,11.2,0.563,1.218,0.049,0.675,0.554,0,1
192,2,10,1,19,10,0,0,True,middle,9.34,11.39,0.568,1.226,0.048,0.677,0.581,0,0
193,2,10,2,19,10,1,0,True,middle,9.29,11.48,0.576,1.222,0.049,0.681,0.561,0,1
194,2,10,3,17,10,0,0,True,middle,9.14,11.68,0.582,1.382,0.061,0.869,0.57,1,0
195,2,10,4,21,10,1,0,True,middle,9.09,11.79,0.616,1.09,0.055,0.634,0.531,0,1
196,2,10,5,19,10,1,0,True,middle,9.05,11.89,0.622,1.203,0.051,0.701,0.48,0,1
197,2,10,6,21,10,1,0,True,middle,9.0,12.0,0.628,1.085,0.056,0.64,0.477,0,1
198,2,11,1,21,12,1,0,True,middle,8.96,12.11,0.634,1.311,0.034,0.642,0.599,0,1
199,2,11,2,19,12,1,0,True,middle,8.91,12.23,0.64,1.424,0.03,0.709,0.64,0,1
200,2,11,3,21,12,1,0,True,middle,8.87,12.35,0.646,1.306,0.035,0.648,0.617,0,1
201,2,11,4,19,12,1,0,True,middle,8.83,12.48,0.652,1.419,0.03,0.715,0.704,0,1
202,2,11,5,21,12,1,0,True,middle,8.79,12.61,0.659,1.301,0.035,0.654,0.571,0,1
203,2,11,6,19,12,2,0,True,middle,8.83,12.62,0.665,1.413,0.031,0.721,0.633,0,2
204,2,12,1,21,7,1,0,True,middle,8.79,12.77,0.669,0.963,0.067,0.658,0.354,0,1
205,2,12,2,19,7,0,0,True,middle,8.68,13.04,0.676,1.075,0.063,0.726,0.422,0,0
206,2,12,3,19,7,0,0,True,middle,8.56,13.33,0.686,1.071,0.064,0.73,0.423,0,0
207,2,12,4,19,7,1,0,True,middle,8.53,13.5,0.697,1.067,0.064,0.735,0.532,0,1
208,2,12,5,21,7,0,0,True,middle,8.42,13.81,0.705,0.948,0.069,0.674,0.45,0,0
209,2,12,6,21,7,2,0,True,middle,8.46,13.86,0.717,0.943,0.07,0.68,0.388,0,2
210,2,13,1,19,9,1,0,True,middle,8.43,14.05,0.721,1.095,0.062,0.746,0.534,0,1
211,2,13,2,21,9,0,0,True,middle,8.32,14.4,0.728,0.977,0.066,0.685,0.391,0,0
212,2,13,3,21,9,1,0,True,middle,8.3,14.62,0.731,0.975,0.067,0.686,0.456,0,1
213,2,13,4,19,9,0,0,True,middle,8.2,15.0,0.734,1.089,0.062,0.752,0.572,0,0
214,2,13,5,19,9,2,0,True,middle,8.24,15.08,0.736,1.088,0.062,0.753,0.465,0,2
215,2,13,6,19,9,2,0,True,middle,8.29,15.17,0.739,1.087,0.062,0.754,0.579,0,2
216,2,14,1,21,14,0,0,True,middle,8.19,15.6,0.742,0.971,0.067,0.691,0.379,0,0
217,2,14,2,21,14,0,0,True,middle,8.09,16.06,0.745,0.969,0.067,0.692,0.403,0,0
218,2,14,3,21,14,1,0,True,middle,8.07,16.36,0.748,0.968,0.067,0.694,0.411,0,1
219,2,14,4,19,14,0,0,True,middle,7.98,16.88,0.751,1.082,0.063,0.759,0.575,0,0
220,2,14,5,19,14,1,0,True,middle,7.96,17.23,0.753,1.081,0.063,0.76,0.492,0,1
221,2,14,6,21,14,1,0,True,middle,7.93,17.6,0.756,0.965,0.068,0.697,0.37,0,1
222,2,15,1,21,8,0,0,True,death,7.85,18.21,0.759,1.021,0.08,0.699,0.43,0,0
223,2,15,2,21,8,4,0,True,death,8.02,18.0,0.762,1.019,0.081,0.85,0.407,0,4
224,2,15,3,21,8,0,2,True,death,8.06,18.22,0.765,1.018,0.081,0.701,0.401,0,2
225,2,15,4,21,8,2,0,True,death,8.11,18.46,0.768,1.017,0.081,0.703,0.458,0,2
226,2,15,5,21,8,0,0,True,death,8.02,19.2,0.77,1.016,0.081,0.704,0.468,0,0
227,2,15,6,21,8,0,0,True,death,7.94,20.0,0.773,1.015,0.081,0.705,0.414,0,0
228,2,16,1,19,12,3,0,True,death,8.04,20.09,0.776,1.367,0.054,0.771,0.685,0,3
229,2,16,2,21,12,6,0,True,death,8.33,19.36,0.779,1.25,0.059,0.858,0.584,0,6
230,2,16,3,21,12,6,0,True,death,8.61,18.57,0.782,1.249,0.059,0.859,0.624,0,6
231,2,16,4,21,12,0,0,True,death,8.52,19.5,0.785,1.248,0.059,0.71,0.532,0,0
232,2,16,5,21,12,0,0,True,death,8.44,20.53,0.787,1.247,0.059,0.711,0.622,0,0
233,2,16,6,21,12,0,0,True,death,8.35,21.67,0.79,1.246,0.059,0.713,0.646,0,0
234,2,17,1,19,12,0,2,True,death,8.39,22.24,0.793,1.36,0.055,0.778,0.621,0,2
235,2,17,2,19,12,1,0,True,death,8.37,23.25,0.796,1.358,0.055,0.78,0.688,0,1
236,2,17,3,21,12,4,0,True,death,8.51,23.2,0.799,1.242,0.059,0.867,0.497,0,4
237,2,17,4,21,12,1,0,True,death,8.49,24.43,0.802,1.241,0.06,0.718,0.577,0,1
238,2,17,5,19,12,2,0,True,death,8.52,25.38,0.804,1.355,0.055,0.783,0.548,0,2
239,2,17,6,19,12,4,0,True,death,8.67,25.5,0.807,1.354,0.055,0.935,0.623,0,4
240,2,18,1,21,14,2,0,True,death,8.7,26.73,0.81,0.942,0.088,0.722,0.38,0,2
241,2,18,2,21,14,0,2,True,death,8.73,28.2,0.813,0.941,0.088,0.723,0.501,0,2
242,2,18,3,21,14,0,0,True,death,8.65,31.33,0.816,0.94,0.088,0.724,0.375,0,0
243,2,18,4,21,14,1,0,True,death,8.62,34.5,0.819,0.938,0.089,0.726,0.457,1,1
244,2,18,5,19,14,4,0,True,death,8.76,36.0,0.847,1.042,0.085,0.953,0.507,0,4
245,2,18,6,19,14,1,0,True,death,8.74,41.0,0.85,1.04,0.085,0.804,0.518,0,1
246,2,19,1,19,9,0,0,True,death,8.66,49.2,0.853,1.039,0.085,0.805,0.424,0,0
247,2,19,2,19,9,0,0,True,death,8.59,61.5,0.856,1.038,0.086,0.807,0.532,0,0
248,2,19,3,19,9,0,0,True,death,8.51,82.0,0.859,1.037,0.086,0.808,0.537,0,0
249,2,19,4,19,9,0,0,True,death,8.44,123.0,0.862,1.035,0.086,0.809,0.571,0,0
250,2,19,5,19,9,2,0,True,death,8.47,234.0,0.864,1.035,0.086,0.81,0.556,0,2
251,2,19,6,19,9,0,1,False,death,8.52,228.0,0.867,1.033,0.009,0.812,0.467,0,1
252,2,19,6,19,9,0,1,True,death,8.5,222.0,0.867,1.033,0.086,0.812,0.464,0,1
253,3,0,1,36,7,0,0,True,powerplay,0.0,,0.0,1.334,0.029,0.379,0.447,0,0
254,3,0,2,36,7,0,1,False,powerplay,6.0,,0.003,1.332,0.006,0.38,0.516,0,1
255,3,0,2,36,7,1,0,True,powerplay,6.0,,0.003,1.332,0.029,0.38,0.426,0,1
256,3,0,3,31,7,1,0,True,powerplay,6.0,,0.006,1.495,0.037,0.596,0.505,0,1
257,3,0,4,36,7,0,0,True,powerplay,4.5,,0.009,1.33,0.029,0.383,0.555,0,0
258,3,0,5,36,7,2,0,True,powerplay,6.0,,0.011,1.329,0.029,0.384,0.555,0,2
259,3,0,6,36,7,0,0,True,powerplay,5.0,,0.014,1.328,0.029,0.385,0.504,0,0
260,3,1,1,31,9,3,0,True,powerplay,6.86,,0.017,1.529,0.034,0.601,0.527,0,3
261,3,1,2,36,9,1,0,True,powerplay,6.75,,0.02,1.363,0.026,0.388,0.464,0,1
262,3,1,3,31,9,0,1,False,powerplay,7.5,,0.023,1.526,0.006,0.603,0.463,0,1
263,3,1,3,31,9,1,0,True,powerplay,7.33,,0.023,1.526,0.034,0.603,0.516,0,1
264,3,1,4,36,9,0,0,True,powerplay,6.6,,0.026,1.361,0.026,0.39,0.475,0,0
265,3,1,5,36,9,0,0,True,powerplay,6.0,,0.028,1.36,0.026,0.391,0.479,0,0
