match_id,innings_id,team_id,player_id,playing_xi,batting_order,primary_role
5,10,2,25,True,11,Bowler
6,11,4,60,True,1,Batter
6,11,4,46,True,2,Batter
6,11,4,56,True,3,Batter
6,11,4,58,True,4,Batter
6,11,4,57,True,5,All-Rounder
6,11,4,47,True,6,Batter
6,11,4,55,True,7,Bowler
6,11,4,59,True,8,Bowler
6,11,4,54,True,9,Bowler
6,11,4,53,True,10,Bowler
6,11,4,52,True,11,Bowler
6,12,3,36,True,1,Batter
6,12,3,31,True,2,Batter
6,12,3,41,True,3,Batter
6,12,3,32,True,4,Batter
6,12,3,33,True,5,All-Rounder
6,12,3,42,True,6,All-Rounder
6,12,3,44,True,7,Bowler
6,12,3,38,True,8,Bowler
6,12,3,40,True,9,Bowler
6,12,3,37,True,10,Bowler
6,12,3,39,True,11,Bowler
7,13,2,27,True,1,Batter
7,13,2,30,True,2,Batter
7,13,2,26,True,3,Batter
7,13,2,17,True,4,Batter
7,13,2,19,True,5,Wicketkeeper
7,13,2,21,True,6,Batter
7,13,2,29,True,7,Bowler
7,13,2,22,True,8,Bowler
7,13,2,24,True,9,Bowler
7,13,2,23,True,10,Bowler
7,13,2,25,True,11,Bowler
7,14,1,15,True,1,Batter
7,14,1,1,True,2,Batter
7,14,1,6,True,3,Batter
7,14,1,13,True,4,Batter
7,14,1,2,True,5,Batter
7,14,1,12,True,6,All-Rounder
7,14,1,7,True,7,Bowler
7,14,1,9,True,8,Bowler
7,14,1,14,True,9,Bowler
7,14,1,8,True,10,Bowler
7,14,1,10,True,11,Bowler
8,15,1,15,True,1,Batter
8,15,1,1,True,2,Batter
8,15,1,6,True,3,Batter
8,15,1,13,True,4,Batter
8,15,1,2,True,5,Batter
8,15,1,12,True,6,All-Rounder
8,15,1,7,True,7,Bowler
8,15,1,9,True,8,Bowler
8,15,1,14,True,9,Bowler
8,15,1,8,True,10,Bowler
8,15,1,10,True,11,Bowler
8,16,3,36,True,1,Batter
8,16,3,31,True,2,Batter
8,16,3,41,True,3,Batter
8,16,3,32,True,4,Batter
8,16,3,33,True,5,All-Rounder
8,16,3,42,True,6,All-Rounder
8,16,3,44,True,7,Bowler
8,16,3,38,True,8,Bowler
8,16,3,40,True,9,Bowler
8,16,3,37,True,10,Bowler
8,16,3,39,True,11,Bowler
9,17,4,60,True,1,Batter
9,17,4,46,True,2,Batter
9,17,4,56,True,3,Batter
9,17,4,58,True,4,Batter
9,17,4,57,True,5,All-Rounder
9,17,4,47,True,6,Batter
9,17,4,55,True,7,Bowler
9,17,4,59,True,8,Bowler
9,17,4,54,True,9,Bowler
9,17,4,53,True,10,Bowler
9,17,4,52,True,11,Bowler
9,18,1,15,True,1,Batter
9,18,1,1,True,2,Batter
9,18,1,6,True,3,Batter
9,18,1,13,True,4,Batter
9,18,1,2,True,5,Batter
9,18,1,12,True,6,All-Rounder
9,18,1,7,True,7,Bowler
9,18,1,9,True,8,Bowler
9,18,1,14,True,9,Bowler
9,18,1,8,True,10,Bowler
9,18,1,10,True,11,Bowler
10,19,3,36,True,1,Batter
10,19,3,31,True,2,Batter
10,19,3,41,True,3,Batter
10,19,3,32,True,4,Batter
10,19,3,33,True,5,All-Rounder
10,19,3,42,True,6,All-Rounder
10,19,3,44,True,7,Bowler
10,19,3,38,True,8,Bowler
10,19,3,40,True,9,Bowler
10,19,3,37,True,10,Bowler
10,19,3,39,True,11,Bowler
10,20,2,27,True,1,Batter
10,20,2,30,True,2,Batter
10,20,2,26,True,3,Batter
10,20,2,17,True,4,Batter
10,20,2,19,True,5,Wicketkeeper
10,20,2,21,True,6,Batter
10,20,2,29,True,7,Bowler
10,20,2,22,True,8,Bowler
10,20,2,24,True,9,Bowler
10,20,2,23,True,10,Bowler
10,20,2,25,True,11,Bowler
11,21,2,27,True,1,Batter
11,21,2,30,True,2,Batter
11,21,2,26,True,3,Batter
11,21,2,17,True,4,Batter
11,21,2,19,True,5,Wicketkeeper
11,21,2,21,True,6,Batter
11,21,2,29,True,7,Bowler
11,21,2,22,True,8,Bowler
11,21,2,24,True,9,Bowler
11,21,2,23,True,10,Bowler
11,21,2,25,True,11,Bowler
11,22,4,60,True,1,Batter
11,22,4,46,True,2,Batter
11,22,4,56,True,3,Batter
11,22,4,58,True,4,Batter
11,22,4,57,True,5,All-Rounder
11,22,4,47,True,6,Batter
11,22,4,55,True,7,Bowler
11,22,4,59,True,8,Bowler
11,22,4,54,True,9,Bowler
11,22,4,53,True,10,Bowler
11,22,4,52,True,11,Bowler
12,23,3,36,True,1,Batter
12,23,3,31,True,2,Batter
12,23,3,41,True,3,Batter
12,23,3,32,True,4,Batter
12,23,3,33,True,5,All-Rounder
12,23,3,42,True,6,All-Rounder
12,23,3,44,True,7,Bowler
12,23,3,38,True,8,Bowler
12,23,3,40,True,9,Bowler
12,23,3,37,True,10,Bowler
12,23,3,39,True,11,Bowler
12,24,4,60,True,1,Batter
12,24,4,46,True,2,Batter
12,24,4,56,True,3,Batter
12,24,4,58,True,4,Batter
12,24,4,57,True,5,All-Rounder
12,24,4,47,True,6,Batter
12,24,4,55,True,7,Bowler
12,24,4,59,True,8,Bowler
12,24,4,54,True,9,Bowler
12,24,4,53,True,10,Bowler
12,24,4,52,True,11,Bowler
